"nspnID","beta.b2a.bsl","lrnR_Appet.b2a.bsl","lrnR_Aver.b2a.bsl","PavBias.b2a.bsl","irNoiseXi.b2a.bsl","GoBias.b2a.bsl","iLik.b2a.bsl","beta.b2a.fu1","lrnR_Appet.b2a.fu1","lrnR_Aver.b2a.fu1","PavBias.b2a.fu1","irNoiseXi.b2a.fu1","GoBias.b2a.fu1","iLik.b2a.fu1","beta.b2a.fu2","lrnR_Appet.b2a.fu2","lrnR_Aver.b2a.fu2","PavBias.b2a.fu2","irNoiseXi.b2a.fu2","GoBias.b2a.fu2","iLik.b2a.fu2"
10702,2.605777,0.392513,0.250678,0.155499,0.084414,0.096614,-81.977756,NA,NA,NA,NA,NA,NA,NA,6.346856,0.11468,0.058751,0.047616,0.056574,0.877144,-65.999743
10710,8.766528,0.038104,0.106577,0.995294,0.060341,-0.121015,-78.748082,NA,NA,NA,NA,NA,NA,NA,7.267192,0.267131,0.118246,0.129573,0.096528,0.704359,-53.880294
10728,6.099034,0.340391,0.708762,0.089448,0.158174,1.469082,-68.980627,NA,NA,NA,NA,NA,NA,NA,15.142379,0.127544,0.198392,0.135814,0.048865,-1.110332,-36.96354
10736,11.565471,0.414568,0.078782,0.216552,0.045347,0.978035,-46.786614,11.425471,0.194606,0.796851,0.302151,0.679281,0.305076,-100.81509,9.250407,0.27625,0.135655,0.064815,0.035318,1.50685,-38.272676
10744,5.599685,0.327521,0.328952,0.066046,0.043094,1.018089,-53.364306,NA,NA,NA,NA,NA,NA,NA,12.436947,0.231179,0.28071,0.103509,0.035167,0.574634,-27.381764
10752,20.144703,0.048628,0.292032,1.343744,0.154213,1.513249,-51.593169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10778,14.1691,0.055678,0.363794,0.050042,0.048024,-0.861573,-49.94074,10.039148,0.099472,0.139545,0.124979,0.024403,0.282986,-40.670833,NA,NA,NA,NA,NA,NA,NA
10794,4.795405,0.086186,0.133554,0.159225,0.076367,0.296728,-80.744808,NA,NA,NA,NA,NA,NA,NA,5.626436,0.799073,0.135277,0.545654,0.099046,1.658891,-71.005066
10801,4.536242,0.112133,0.204729,0.323514,0.055802,0.81651,-63.469308,NA,NA,NA,NA,NA,NA,NA,18.729834,0.384156,0.192413,0.098607,0.192604,0.707251,-59.835166
10819,8.055106,0.097063,0.061644,0.23763,0.076221,1.204011,-61.220935,NA,NA,NA,NA,NA,NA,NA,7.508805,0.070624,0.203677,0.157545,0.03071,0.525216,-54.812656
10827,4.658988,0.0683,0.056929,0.227844,0.073983,1.012943,-84.048464,NA,NA,NA,NA,NA,NA,NA,6.47528,0.129667,0.039513,0.081223,0.029486,0.164428,-61.900501
10843,0.840151,0.068294,0.127245,0.158957,0.087648,0.464155,-102.437063,NA,NA,NA,NA,NA,NA,NA,5.312649,0.5131,0.349804,0.502702,0.162005,1.64454,-69.960375
10869,11.835594,0.063302,0.07027,0.128138,0.083523,0.601298,-75.960563,NA,NA,NA,NA,NA,NA,NA,8.622718,0.218896,0.531042,0.057483,0.044935,1.326528,-41.139855
10877,3.020529,0.126097,0.385003,0.327948,0.061958,0.838534,-81.906489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10893,6.31252,0.120559,0.285942,0.404127,0.172589,1.150042,-79.56581,NA,NA,NA,NA,NA,NA,NA,10.699937,0.155042,0.294506,0.089373,0.027239,0.523475,-31.331723
10900,6.882721,0.168838,0.273791,0.085716,0.036709,0.75557,-37.842853,NA,NA,NA,NA,NA,NA,NA,7.49133,0.159691,0.202167,0.048325,0.11431,1.532293,-65.527506
10918,7.937672,0.119681,0.012549,0.171173,0.065711,1.339007,-73.687627,NA,NA,NA,NA,NA,NA,NA,8.065725,0.305239,0.168083,0.17119,0.02691,0.383687,-36.302862
10975,21.963407,0.11851,0.012322,0.077765,0.215249,0.785866,-83.958242,12.939953,0.221873,0.728124,0.144571,0.255759,0.830795,-67.064396,13.72112,0.226444,0.055646,0.161362,0.027686,0.500447,-48.123951
10983,5.128362,0.225596,0.019042,0.201183,0.069285,-0.261449,-74.114009,NA,NA,NA,NA,NA,NA,NA,5.795307,0.418671,0.211141,0.239636,0.245636,0.935354,-77.478597
11049,8.656185,0.04737,0.081272,0.035691,0.044732,0.131692,-83.422864,NA,NA,NA,NA,NA,NA,NA,10.217219,0.037592,0.360745,0.509582,0.044006,0.553351,-61.162302
11064,7.730974,0.304464,0.086777,0.186911,0.115144,-0.00548,-68.851814,NA,NA,NA,NA,NA,NA,NA,7.945034,0.087853,0.070933,0.080242,0.052538,0.679511,-70.812068
11171,2.397264,0.082282,0.417016,0.059235,0.072885,-0.191422,-92.406519,10.446396,0.087036,0.139637,0.085092,0.055096,0.135591,-52.003792,10.591102,0.024097,0.210396,0.052288,0.148892,-0.648985,-81.26983
11239,6.265442,0.229041,0.019375,0.106167,0.215132,1.178023,-84.873381,NA,NA,NA,NA,NA,NA,NA,15.270548,0.5629,0.421447,0.279189,0.187492,0.692614,-64.401907
11262,15.491464,0.149954,0.194989,0.749683,0.04867,0.227482,-43.720234,10.239583,0.567383,0.957358,0.021855,0.275125,1.384407,-80.598157,9.504565,0.043741,0.239262,0.302291,0.027398,0.283605,-49.828048
11296,2.82676,0.099877,0.015533,0.411075,0.0685,-0.48138,-95.292024,NA,NA,NA,NA,NA,NA,NA,1.523269,0.271753,0.147698,0.107346,0.07584,0.772876,-91.3268
11304,7.809446,0.084171,0.125657,0.424216,0.034751,1.331032,-50.055813,NA,NA,NA,NA,NA,NA,NA,8.979621,0.257436,0.077141,0.099547,0.02523,-0.324474,-46.547459
11312,2.897316,0.134059,0.529424,0.937126,0.195225,0.73556,-79.476669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11320,9.347734,0.073486,0.157424,0.619928,0.066956,2.253245,-53.958369,NA,NA,NA,NA,NA,NA,NA,4.525656,0.053637,0.522232,0.319566,0.039552,1.141887,-64.155416
11338,2.569273,0.065272,0.52908,0.77518,0.049725,1.411606,-69.521573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11403,8.485194,0.07151,0.029442,2.11276,0.029577,0.596338,-42.003253,NA,NA,NA,NA,NA,NA,NA,15.108059,0.070367,0.051367,1.075855,0.0509,1.485791,-48.225467
11429,6.676973,0.076544,0.053691,0.495936,0.095882,1.688697,-69.253639,NA,NA,NA,NA,NA,NA,NA,2.488167,0.062535,0.09686,0.098082,0.057376,-0.214931,-94.79324
11460,11.799433,0.029257,0.095948,0.788304,0.042202,0.474629,-61.319447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11486,8.586664,0.226153,0.077807,0.101943,0.05942,0.789041,-53.518573,NA,NA,NA,NA,NA,NA,NA,2.53199,0.026106,0.161457,0.479876,0.069089,0.580405,-94.854667
11544,1.782916,0.071072,0.072056,0.39905,0.07994,0.47364,-96.156592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11551,6.532388,0.042819,0.602993,0.581607,0.156019,1.422109,-68.980858,NA,NA,NA,NA,NA,NA,NA,5.830376,0.272012,0.155847,0.226679,0.058986,-0.974104,-59.371044
11619,15.638644,0.045494,0.285036,0.17346,0.208671,0.772262,-75.220782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
